id,bus,loop,status,durationMs,gain,ogg_I,ogg_TP,m4a_I,m4a_TP,ogg_wrap,ogg_bodyP999,m4a_wrap,m4a_bodyP999,lenDiff_ogg,lenDiff_m4a
base_loop_a,music,True,built,83598.3,1.0,-15.5,-1.82,-15.6,-1.38,0.02961,0.1215,0.02027,0.12024,1,740
base_loop_b,music,True,built,83598.3,1.0,-15.5,-2.05,-15.5,-2.0,0.00501,0.0681,0.01041,0.06582,1,740
rescue_loop,music,True,built,76920.0,1.0,-15.5,-2.16,-15.5,-2.2,0.00592,0.14817,0.01953,0.14551,0,340
inferno_loop,music,True,built,76920.0,1.0,-15.2,-1.9,-15.2,-1.76,0.00918,0.10014,0.01059,0.09905,0,340
anticipation_layer,music,True,built,10554.8,0.402,-16.0,-2.55,-16.0,-2.49,0.00294,0.09136,0.01262,0.08811,1,454
backdraft_spins_layer,music,True,built,31424.4,0.555,-16.0,-1.61,-16.0,-1.73,0.00289,0.11597,0.02165,0.11355,1,682
rung_bed_big,music,True,built,19320.0,1.0,-15.2,-1.75,-15.2,-1.78,0.02036,0.16722,0.0636,0.15881,0,980
rung_bed_huge,music,True,built,19320.0,1.0,-15.0,-1.87,-15.1,-1.87,0.00684,0.14187,0.02004,0.14072,0,980
rung_bed_mega,music,True,built,19320.0,1.0,-14.8,-2.93,-14.9,-2.9,0.00229,0.15869,0.00389,0.15757,0,980
rung_bed_epic,music,True,built,19320.0,1.0,-14.6,-4.3,-14.6,-4.42,0.01355,0.08817,0.00806,0.08793,0,980
rung_bed_max,music,True,built,19320.0,1.0,-14.4,-1.74,-14.4,-1.38,0.00172,0.08901,0.01766,0.08878,0,980
ui_click_1,sfx,False,built,128.6,0.64,-22.4,-1.92,-22.5,-2.37,,,,,1,472
ui_click_2,sfx,False,built,334.3,1.351,-26.2,-2.99,-26.1,-3.0,,,,,1,617
ui_click_3,sfx,False,built,480.0,0.915,-23.6,-2.61,-23.9,-2.95,,,,,0,336
bet_change,sfx,False,built,480.0,0.516,-17.3,-3.01,-17.4,-3.03,,,,,0,336
