cue,file_loud400_dBFS,target_dBFS,old_gain,new_gain,effective_dBFS
anticipation_layer,-13.04,-21,0.4,0.4,-21.0
backdraft_spins_layer,-14.73,-20,0.545,0.545,-20.0
ui_click_1,-26.24,-27,0.916,0.916,-27.0
ui_click_2,-29.64,-27,1.355,1.355,-27.0
ui_click_3,-26.59,-27,0.954,0.954,-27.0
bet_change,-21.21,-27,0.513,0.513,-27.0
ante_on,-26.65,-21,1.916,1.916,-21.0
ante_off,-21.73,-21,1.087,1.087,-21.0
alert_insufficient,-21.32,-18,1.465,1.465,-18.0
buy_confirm,-22.22,-21,1.15,1.15,-21.0
spin_start,-24.7,-23,1.216,1.216,-23.0
spin_whoosh,-16.87,-25,0.392,0.392,-25.0
reel_spin_loop,-30.25,-30,1.029,1.029,-30.0
reel_stop_1,-19.14,-22,1.264,0.72,-22.0
reel_stop_2,-19.6,-22,1.539,0.758,-22.01
reel_stop_3,-19.81,-22,1.604,0.777,-22.0
reel_stop_4,-19.9,-22,1.662,0.786,-21.99
reel_stop_5,-19.98,-22,1.666,0.793,-22.0
reel_stop_turbo,-20.06,-21,1.906,0.898,-21.0
wild_land,-19.9,-20,0.988,0.988,-20.0
alarm_land_1,-18.2,-20,0.813,0.813,-20.0
alarm_land_2,-17.76,-19.5,0.819,0.819,-19.5
alarm_land_3,-18.7,-19,0.966,0.966,-19.0
alarm_land_4,-17.73,-18.5,0.916,0.916,-18.5
alarm_land_5,-17.58,-18,0.953,0.953,-18.0
galarm_glint,-17.11,-20,0.717,0.717,-20.0
dead_spin_settle,-18.25,-28,0.326,0.326,-27.99
antic_riser,-17.48,-18,0.942,0.942,-18.0
antic_riser_2,-17.5,-17.5,1.0,1.0,-17.5
antic_miss,-19.48,-20,0.942,0.942,-20.0
antic_hit,-17.73,-18,0.969,0.969,-18.0
trigger_fanfare,-16.17,-15,1.144,1.144,-15.0
backdraft_whoosh,-17.55,-19,0.847,0.847,-19.0
