H1,H1,H1,H1,H1
H1,H1,H1,H1,H1
H1,H1,H1,H1,H1
L2,L2,H2,L3,H3
L4,H4,L2,H2,H4
L3,H2,L4,L4,L1
L3,L1,L3,L3,L4
L2,L3,L1,L4,L2
L1,L4,H4,L4,L1
L4,H3,L3,H4,L2
L1,L3,L1,L3,L2
H1,L3,H1,L2,L2
L4,L3,L1,H2,L4
L1,L3,L2,H2,L2
L3,L3,L4,L3,L3
L3,H4,L3,L1,L4
H4,L2,H4,L2,L3
L2,L2,H1,L4,H2
H1,H4,L2,L4,H4
L4,L4,L2,L4,L2
L2,H3,L4,H2,H4
L3,L1,L1,H4,L3
L2,H4,L3,L1,L2
H4,L1,L2,H1,H3
H4,L2,L2,L2,H1
L4,L4,H2,L2,L2
L3,L4,L3,L1,L2
L2,L4,ALARM,L1,L4
L2,H4,L1,L3,L3
L4,L3,H3,L4,L3
H2,L3,L4,L4,L3
L4,H4,L3,H4,H4
L3,L1,H2,L4,GALARM
L2,L2,L4,H4,L3
L1,L3,H3,L3,L2
L3,H4,H3,L1,H1
L2,L3,H3,L2,H4
L1,L2,H2,L3,L2
L4,L1,H4,H1,L3
L2,H3,L2,L3,H4
L4,L3,W,L4,L2
L1,L3,L4,L3,L3
L1,H3,H3,L1,L2
L2,L1,L3,W,L4
L2,H2,H2,L3,H4
H2,L4,L1,L3,L4
H2,L4,H4,H4,H1
L2,L2,L4,L3,H4
L2,L4,ALARM,GALARM,H3
L4,L1,L4,H1,L2
L2,L4,H1,L2,H4
H2,L2,L3,L3,H3
H3,L4,L4,L3,L4
L1,H2,L2,L2,H2
L1,H3,L2,H1,H4
L3,L4,L1,L3,L1
L3,L3,L3,H3,H4
L2,H3,L3,L1,L4
L1,L2,L1,L3,L4
L2,L2,L4,H3,H4
L4,H4,L4,L4,L1
L4,L4,H3,L3,L4
H4,L3,H2,L2,L2
L3,L2,ALARM,L2,L1
L4,L1,L2,L1,L4
L1,L3,L1,L4,L3
L1,H3,L3,H3,H3
L2,H2,H2,H3,ALARM
L3,H3,L3,L4,L4
L2,L3,L4,H4,L2
L4,L1,H1,L3,L2
L3,L4,H3,L3,H3
L4,L3,L3,H1,L3
H2,L1,L2,L3,L4
L1,L4,L3,L3,L4
L3,L2,L2,L2,L4
L2,L4,L1,L4,L2
L3,L4,L1,ALARM,L2
H4,L2,L3,L4,H3
L3,L1,L4,L4,H2
L3,L4,L3,L3,L3
H4,H4,L4,H4,L1
L2,L1,L4,L4,L4
L4,L2,L2,L2,H3
L3,L4,L3,H3,L4
L2,ALARM,H3,L2,L2
L4,L1,L3,L4,L1
L3,L2,L2,H4,ALARM
H3,H4,H2,L1,H4
L3,L2,L2,L3,L1
H2,L3,L2,L1,H3
L2,H1,L4,L3,H2
L3,L2,L1,H4,L4
L1,L1,H2,L4,L3
L3,L2,L4,L4,H3
H4,L2,L2,H4,H2
L3,L2,L1,H1,H4
L3,L4,L3,L2,L1
L2,L1,L3,L4,L4
L4,L1,L2,L1,L2
H4,L2,L1,L1,L3
L4,H3,L1,L4,H2
H4,L3,H4,H4,L1
L2,L2,H4,L2,ALARM
H3,L3,L3,L2,L2
L4,L1,H1,L2,L1
H2,H1,H4,L4,H4
L2,H4,L2,L1,L3
L2,GALARM,L1,L4,L1
L1,L3,L2,L4,L1
H3,L3,L4,H3,L4
L3,L2,L4,L2,H1
H4,L2,H4,L3,L1
H3,L4,L2,L3,L1
L4,L2,L2,L1,H4
L4,L4,L3,L1,L2
L1,L1,L1,L2,H4
H3,L2,ALARM,L1,H4
L3,L4,L2,H1,H4
L2,L4,H3,H4,L4
L3,L1,L4,L1,L1
L2,L1,L3,L1,L2
H3,L2,L1,L3,W
L2,W,H2,L2,H3
L2,L4,H4,L1,L3
L1,L2,H3,H2,H4
L1,H3,L4,L2,H2
H2,L3,H2,L4,H2
L1,H1,H4,L1,L4
L2,L4,H4,L4,H2
L4,L4,L3,L2,L4
L4,L3,L1,L2,H2
L1,H3,L1,L1,W
L1,L4,H4,L4,H3
L4,L1,H3,L1,H3
L2,L3,L2,H4,L3
L2,L3,L4,H4,L2
H4,H1,H3,L2,H4
L3,H2,L3,L3,H3
L4,H3,H4,L2,H3
L4,H2,L3,L2,L3
L4,L1,L3,L2,H4
L1,L1,L2,L3,L4
H2,H3,H2,L3,L1
L1,H4,H2,H3,L2
L4,L3,L3,L2,L2
L2,L3,L4,L3,H2
L3,H3,L2,L3,L4
H2,ALARM,L4,L3,L2
L3,L2,L1,L2,H2
L3,L4,L1,L4,L1
H3,L3,L4,L4,L4
L4,L1,L1,L2,H2
L3,L2,L2,L3,L3
H3,L2,L2,L4,L3
L1,H3,H4,L2,L1
L2,L1,L3,L1,L3
H2,L3,L2,H4,L4
L2,L2,L3,L3,L4
H4,L4,H1,L4,L4
L1,L4,H3,L3,L4
L4,L1,L4,L2,L2
L4,L4,L2,L3,L2
ALARM,L3,H3,L4,L3
H4,W,L1,L4,L2
L2,L4,H3,H2,L2
L1,H3,L1,L1,L2
L2,L2,L4,L2,H4
H3,H1,L2,L1,H4
L3,L4,L3,H4,L1
H2,L2,L2,L4,ALARM
L1,H2,L4,L4,L2
L3,L3,L2,L3,L3
ALARM,L2,H4,ALARM,L3
L4,L3,L2,L3,L4
H4,L3,L4,L2,L1
H3,L2,L2,L2,L3
L1,L3,L4,ALARM,H3
L2,L2,L2,L4,L1
H4,L3,L1,L4,L3
L2,H4,L2,L2,L1
L4,H1,L2,L2,L3
H3,H2,L4,H3,L1
L1,L1,L3,L2,L3
L1,L3,L4,L3,L4
H2,H4,H1,L3,H1
H4,L1,L4,H4,L2
L2,H3,L2,L1,H1
L1,L2,L3,L3,L4
L3,L4,L4,L4,L1
L2,H2,H3,L3,L3
H3,L1,L3,L1,L1
H3,L3,L1,L4,L2
H1,L4,GALARM,L2,L4
L3,L3,L3,L4,L1
L1,H3,H4,ALARM,L1
L3,L4,L2,L1,L4
L4,L3,H4,H3,L3
L1,L4,L2,L3,L4
H2,L3,L1,L3,H1
H3,L3,H3,L3,H4
L2,L2,L1,L2,L2
L1,L1,L1,H3,L1
L4,L3,H1,L4,L1
L4,L1,L2,L2,L1
H3,L3,L1,L1,W
L2,ALARM,H2,L4,L2
L1,H3,H1,H2,L4
L2,L4,L1,L3,L1
L4,L2,L4,L4,L1
L3,L3,L2,L2,L2
L1,L2,H3,ALARM,L4
ALARM,L2,L1,H4,L4
L4,L2,L3,H4,H4
H2,L2,ALARM,L3,L4
L4,H2,H3,L2,ALARM
L4,L2,L4,H4,L1
L4,L4,H3,L4,L2
H2,L1,L3,L4,L4
L2,L3,L4,L4,L2
L3,L3,L4,L2,L2
H3,H1,L1,L1,L1
L4,L3,L3,L2,H2
H4,L2,H4,H3,L1
L4,L4,L4,L1,L3
H2,L2,L2,L3,L2
L4,L4,H4,L4,H1
L2,H4,L4,L4,L1
L2,L4,L3,H2,L2
L1,L1,L1,H4,H1
H2,W,L2,L3,L1
L4,L4,L1,H3,L1
L4,L1,L2,L3,L1
L4,L4,L1,L1,H2
L3,H4,L4,L3,L3
H2,L3,L2,L1,H2
H2,L4,L2,L3,L4
H2,H4,H3,L4,L4
L2,L1,L2,H1,H4
L2,L4,L2,L3,L2
L2,L3,L3,L2,L4
L2,H1,L3,ALARM,L2
L1,L4,L4,L4,H3
H4,L3,L3,L3,L3
L4,L4,L3,L3,H2
H3,L4,L4,ALARM,L4
H2,H3,H4,H4,L3
H4,L3,H4,L3,L1
L3,L3,W,L2,L4
L2,L3,H3,L2,ALARM
L3,H3,L3,L4,H4
ALARM,H4,L3,H4,H4
H3,ALARM,H1,L2,L3
L2,W,L4,H4,L3
L4,L4,L2,L4,L4
L2,L2,L3,H3,L2
L4,L2,L1,L1,L4
L2,L4,L4,L4,H1
H3,L3,L2,L1,L2
H2,H4,L2,L3,L3
L3,L3,L4,L1,H2
H4,L3,L4,L1,L4
L3,H3,L1,L2,L3
L4,ALARM,H4,L4,L2
L3,L4,L2,L3,L2
L3,H1,H4,L1,L2
L4,L3,L1,L4,L3
L1,L2,L1,L3,L4
H1,L4,H2,L1,L2
L4,L4,L4,L2,L1
H2,H3,L1,L3,H4
L4,L4,L3,L1,L2
H3,L4,L1,L4,L4
L1,L3,H3,L4,L4
L1,L2,L3,L2,L2
L2,L1,L4,L2,H3
L4,L2,H4,L4,H4
L1,L1,L4,L3,H4
L2,L1,H2,L3,L3
GALARM,L4,H1,L2,L4
L1,L4,L3,L2,H2
H1,L2,L4,L2,L2
H4,L4,L3,L3,L3
L4,L2,L4,L1,L2
L2,L2,L1,L3,L4
H4,H3,L3,L2,L1
L1,L1,H4,L4,L1
L2,L4,H2,L3,H3
L4,L2,W,L2,L2
H2,L1,L1,L2,L3
L3,L3,L1,H2,L2
L3,L1,L4,L4,L4
H4,L3,L1,L4,L4
H1,L1,L2,L3,L2
L1,L4,L4,L4,L3
L2,L4,H4,H2,L3
H3,L1,L2,L3,L4
H4,H4,ALARM,L4,L4
L2,L1,L1,L2,L4
L1,L4,L3,L3,H3
ALARM,L2,L4,L3,L3
L3,L4,L2,H3,L4
L4,L4,L2,L3,W
L2,L1,L4,L1,L4
H4,L1,L3,L3,L4
H4,L4,L3,L4,L3
H4,L1,L1,L4,H1
L1,H1,L4,L3,H4
L4,H3,L2,L1,L3
L2,L2,L3,ALARM,L2
L1,H4,L3,L3,L3
H2,H3,H3,L1,L3
L4,L4,L4,L1,H4
H4,H4,L1,L2,L3
L4,L3,W,L1,L4
L4,L1,L3,L4,L2
H1,L3,L2,L3,L4
L1,L3,L1,ALARM,L4
L4,H1,H3,L2,H4
H3,H4,H2,L4,H4
L2,H2,L2,L1,L2
L1,L3,L4,L3,L4
H3,L3,L1,L3,L2
H2,H3,H4,L1,L3
H3,H3,L3,L3,L4
L4,H4,L3,H2,H4
L4,L3,L3,H4,H4
L4,L2,L4,L2,L1
H1,L3,H2,L2,L3
L4,H4,L3,H3,H2
L4,L2,L1,L2,L3
L4,L1,L2,L3,H1
H1,H4,L3,L2,L2
H4,L1,L2,L2,L1
L4,ALARM,H1,L2,L2
H4,L4,L1,H4,L3
L1,L3,L2,L2,L2
L4,H3,L4,L2,L1
L1,H4,L2,L4,H3
L4,H4,H4,L2,H2
L3,H4,L3,L2,L2
L4,L4,L4,H2,L2
L2,L3,L4,H3,L3
L1,L2,H4,L2,L4
L2,L4,H2,H3,L1
H4,L3,L1,ALARM,H3
L2,ALARM,H1,H3,L4
H4,L2,L4,H3,L2
H3,L4,L4,H4,H4
L4,L4,L2,H4,L1
