payout_x100,route,backdraft,count
0,inferno,False,1
0,none,False,4709
0,none,True,202
10,none,False,255
10,none,True,17
20,none,False,625
20,none,True,62
30,none,False,190
30,none,True,19
30,rescue,False,3
40,none,False,344
40,none,True,46
40,rescue,False,3
50,none,False,184
50,none,True,34
60,inferno,False,1
60,none,False,227
60,none,True,50
70,none,False,30
70,none,True,21
80,none,False,116
80,none,True,30
80,rescue,False,2
90,none,False,19
90,none,True,18
90,rescue,False,1
100,none,False,56
100,none,True,36
100,rescue,False,4
110,none,False,12
110,none,True,17
110,rescue,False,2
120,none,False,47
120,none,True,31
120,rescue,False,8
130,inferno,False,1
130,none,False,10
130,none,True,19
130,rescue,False,2
140,inferno,False,2
140,none,False,27
140,none,True,20
140,rescue,False,3
150,none,False,31
150,none,True,29
150,rescue,False,3
160,none,False,21
160,none,True,14
160,rescue,False,6
170,inferno,False,1
170,none,False,7
170,none,True,18
170,rescue,False,6
180,none,False,13
180,none,True,18
180,rescue,False,5
190,none,False,3
190,none,True,14
190,rescue,False,9
200,none,False,18
200,none,True,23
200,rescue,False,4
210,none,False,2
210,none,True,13
210,rescue,False,2
220,none,False,5
220,none,True,12
220,rescue,False,4
230,none,True,4
230,rescue,False,1
240,none,False,2
240,none,True,10
240,rescue,False,6
250,none,False,6
250,none,True,12
250,rescue,False,2
260,none,False,4
260,none,True,8
260,rescue,False,5
270,none,False,1
270,none,True,8
270,rescue,False,1
280,none,False,5
280,none,True,10
280,rescue,False,9
290,none,True,3
290,rescue,False,2
300,none,False,4
300,none,True,9
300,rescue,False,3
310,none,True,8
310,rescue,False,7
320,none,False,5
320,none,True,11
320,rescue,False,5
330,none,True,4
330,rescue,False,7
340,none,False,1
340,none,True,4
340,rescue,False,5
350,none,False,2
350,none,True,5
350,rescue,False,4
360,none,False,2
360,none,True,8
360,rescue,False,2
370,none,True,2
380,none,True,2
380,rescue,False,5
390,inferno,False,1
390,none,False,1
390,none,True,2
390,rescue,False,2
400,none,False,4
400,none,True,5
400,rescue,False,6
410,none,True,4
410,rescue,False,7
420,none,False,1
420,none,True,3
420,rescue,False,7
430,none,True,4
430,rescue,False,4
440,none,True,5
440,rescue,False,3
450,none,True,5
450,rescue,False,7
460,none,True,7
460,rescue,False,3
470,none,True,2
470,rescue,False,7
480,none,False,1
480,none,True,6
480,rescue,False,6
490,none,True,1
490,rescue,False,1
500,none,False,1
500,none,True,7
500,rescue,False,4
510,none,True,4
510,rescue,False,4
520,none,False,2
520,none,True,3
520,rescue,False,5
530,rescue,False,7
540,inferno,False,1
540,none,False,1
540,none,True,2
540,rescue,False,7
550,none,True,4
550,rescue,False,3
560,none,False,1
560,none,True,3
560,rescue,False,2
570,none,True,2
570,rescue,False,5
580,none,False,1
580,rescue,False,6
590,none,True,1
590,rescue,False,2
600,none,False,2
600,none,True,5
600,rescue,False,7
610,none,True,1
610,rescue,False,10
620,inferno,False,1
620,rescue,False,6
630,none,True,2
630,rescue,False,4
640,none,True,5
640,rescue,False,5
650,none,True,1
650,rescue,False,7
660,inferno,False,1
660,none,True,3
660,rescue,False,5
670,none,True,1
670,rescue,False,5
680,rescue,False,2
690,none,True,2
690,rescue,False,4
700,none,True,1
700,rescue,False,9
710,none,True,1
710,rescue,False,7
720,none,True,3
720,rescue,False,6
730,none,True,1
730,rescue,False,5
740,none,True,1
740,rescue,False,9
750,none,False,1
750,rescue,False,1
760,rescue,False,4
770,inferno,False,1
770,rescue,False,2
780,rescue,False,5
790,rescue,False,5
800,inferno,False,2
800,none,True,3
800,rescue,False,2
810,inferno,False,1
810,none,True,2
810,rescue,False,4
820,rescue,False,2
830,inferno,False,1
830,rescue,False,7
840,rescue,False,6
850,none,True,2
850,rescue,False,4
860,none,True,2
860,rescue,False,2
870,none,True,1
870,rescue,False,3
880,inferno,False,1
880,none,True,1
880,rescue,False,7
890,inferno,False,3
890,rescue,False,6
900,inferno,False,1
900,rescue,False,4
910,rescue,False,2
920,rescue,False,4
930,none,True,2
930,rescue,False,7
940,rescue,False,1
950,rescue,False,3
960,none,True,1
960,rescue,False,1
970,rescue,False,6
980,inferno,False,1
980,rescue,False,3
990,none,True,2
990,rescue,False,4
1000,inferno,False,2
1000,rescue,False,3
1010,none,True,1
1010,rescue,False,1
1020,rescue,False,8
1030,rescue,False,4
1040,inferno,False,1
1040,rescue,False,2
1050,inferno,False,1
1050,rescue,False,3
1060,inferno,False,2
1060,none,True,2
1060,rescue,False,5
1070,none,True,1
1070,rescue,False,3
1080,rescue,False,3
1090,none,True,1
1100,rescue,False,3
1110,rescue,False,3
1120,rescue,False,7
1130,inferno,False,1
1130,rescue,False,6
1140,inferno,False,1
1140,none,True,1
1140,rescue,False,2
1150,inferno,False,1
1150,none,True,1
1150,rescue,False,4
1160,rescue,False,3
1170,inferno,False,1
1170,rescue,False,3
1180,rescue,False,4
1190,rescue,False,9
1200,rescue,False,2
1210,rescue,False,5
1220,inferno,False,1
1220,rescue,False,3
1230,rescue,False,6
1240,rescue,False,4
1250,rescue,False,5
1260,rescue,False,5
1270,none,True,1
1270,rescue,False,4
1280,inferno,False,1
1280,rescue,False,1
1290,rescue,False,3
1300,rescue,False,1
1310,inferno,False,1
1310,rescue,False,3
1320,none,True,1
1320,rescue,False,5
1330,inferno,False,1
1330,rescue,False,6
1340,inferno,False,1
1340,rescue,False,2
1350,rescue,False,3
1360,rescue,False,1
1380,rescue,False,1
1390,rescue,False,4
1400,none,True,1
1400,rescue,False,2
1410,inferno,False,2
1410,rescue,False,6
1420,inferno,False,1
1420,rescue,False,5
1430,rescue,False,3
1440,rescue,False,2
1460,rescue,False,2
1470,rescue,False,2
1480,inferno,False,1
1480,rescue,False,1
1490,inferno,False,1
1490,rescue,False,2
1500,inferno,False,1
1500,rescue,False,6
1510,inferno,False,1
1510,rescue,False,1
1520,inferno,False,1
1520,rescue,False,2
